Experiment id: 13C_finetune_commutative_cnn_20260705_131931
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/13C/runs/13C_finetune_commutative_cnn_20260705_131931
Using pretrained encoder checkpoint: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/10C/runs/10C_pretrain_commutative_cnn_20260704_141703/10C_pretrain_commutative_cnn_20260704_141703_encoder_state.pt
Fine-tune loss PDFs: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/13C/runs/13C_finetune_commutative_cnn_20260705_131931/loss_plots/fine_tune
Commutative CNN model: parameters=183,903 trainable=183,903 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trA=train_action_loss
    trWO=train_water_vs_other_loss
    trFA=train_feature_alignment_loss
    trCo=train_compound_loss
    trCn=train_concentration_loss
    vaL=val_loss
    vaA=val_action_loss
    vaWO=val_water_vs_other_loss
    vaFA=val_feature_alignment_loss
    vaCo=val_compound_loss
    vaCn=val_concentration_loss
     ep       lr       eta |      trL      trA     trWO     trFA     trCo     trCn |      vaL      vaA     vaWO     vaFA     vaCo     vaCn
052/120 8.00e-06   5:26:45 |   3.5239   1.3793   0.0000   1.6817   1.9802   1.0719 |   3.7330   1.4403   0.0000   2.0393   2.1010   1.1407
053/120 8.00e-06   5:22:00 |   3.5361   1.3832   0.0000   1.7188   1.9872   1.0758 |   3.7254   1.4391   0.0000   2.0463   2.0965   1.1354
054/120 8.00e-06   5:17:10 |   3.5218   1.3811   0.0000   1.7295   1.9786   1.0722 |   3.7146   1.4343   0.0000   2.0493   2.0904   1.1381
055/120 8.00e-06   5:12:25 |   3.4947   1.3712   0.0000   1.7420   1.9632   1.0725 |   3.7133   1.4297   0.0000   2.0397   2.0903   1.1372
056/120 8.00e-06   5:07:37 |   3.4891   1.3723   0.0000   1.6766   1.9596   1.0720 |   3.6924   1.4352   0.0000   2.1047   2.0764   1.1399
057/120 8.00e-06   5:02:52 |   3.4882   1.3711   0.0000   1.7803   1.9592   1.0737 |   3.6839   1.4239   0.0000   1.9692   2.0728   1.1362
058/120 8.00e-06   4:58:02 |   3.4979   1.3678   0.0000   1.6965   1.9658   1.0736 |   3.6737   1.4267   0.0000   2.0710   2.0660   1.1352
059/120 8.00e-06   4:53:12 |   3.4987   1.3733   0.0000   1.7022   1.9654   1.0740 |   3.6725   1.4255   0.0000   2.0708   2.0655   1.1336
060/120 8.00e-06   4:48:24 |   3.4751   1.3661   0.0000   1.7339   1.9518   1.0729 |   3.6598   1.4223   0.0000   2.0338   2.0581   1.1340
061/120 8.00e-06   4:43:33 |   3.4820   1.3632   0.0000   1.7703   1.9566   1.0733 |   3.6500   1.4292   0.0000   2.1544   2.0508   1.1416
062/120 8.00e-06   4:38:45 |   3.4550   1.3584   0.0000   1.7697   1.9404   1.0719 |   3.6525   1.4196   0.0000   2.0851   2.0539   1.1366
063/120 8.00e-06   4:33:57 |   3.4470   1.3644   0.0000   1.7395   1.9345   1.0713 |   3.6271   1.4142   0.0000   2.1207   2.0389   1.1401
064/120 8.00e-06   4:29:08 |   3.4452   1.3617   0.0000   1.7837   1.9337   1.0740 |   3.6439   1.4247   0.0000   2.1462   2.0478   1.1316
065/120 8.00e-06   4:24:21 |   3.4250   1.3569   0.0000   1.7950   1.9219   1.0739 |   3.6358   1.4128   0.0000   2.1205   2.0445   1.1349
066/120 8.00e-06   4:19:34 |   3.4329   1.3583   0.0000   1.8066   1.9266   1.0727 |   3.6182   1.4144   0.0000   2.0081   2.0333   1.1310
067/120 8.00e-06   4:14:44 |   3.4386   1.3578   0.0000   1.7536   1.9303   1.0716 |   3.6018   1.4123   0.0000   2.0516   2.0234   1.1354
068/120 8.00e-06   4:09:56 |   3.4183   1.3531   0.0000   1.7861   1.9183   1.0721 |   3.5879   1.4208   0.0000   2.1783   2.0133   1.1424
069/120 8.00e-06   4:05:06 |   3.4120   1.3510   0.0000   1.8366   1.9147   1.0741 |   3.5981   1.4105   0.0000   2.0924   2.0213   1.1365
070/120 8.00e-06   4:00:17 |   3.4222   1.3539   0.0000   1.8016   1.9206   1.0717 |   3.5831   1.4116   0.0000   2.0436   2.0118   1.1368
071/120 8.00e-06   3:55:29 |   3.4145   1.3579   0.0000   1.7933   1.9152   1.0724 |   3.5905   1.4094   0.0000   2.1120   2.0168   1.1349
072/120 8.00e-06   3:50:41 |   3.3838   1.3438   0.0000   1.8835   1.8982   1.0728 |   3.5631   1.4151   0.0000   2.1955   1.9987   1.1382
073/120 8.00e-06   3:45:53 |   3.4047   1.3528   0.0000   1.8525   1.9098   1.0740 |   3.5815   1.4119   0.0000   2.1413   2.0108   1.1327
074/120 8.00e-06   3:41:03 |   3.3867   1.3443   0.0000   1.8518   1.8999   1.0698 |   3.5594   1.4154   0.0000   2.2043   1.9964   1.1378
075/120 8.00e-06   3:36:17 |   3.3757   1.3517   0.0000   1.7769   1.8919   1.0716 |   3.5417   1.4085   0.0000   2.1583   1.9863   1.1372
076/120 8.00e-06   3:31:29 |   3.3914   1.3531   0.0000   1.8399   1.9015   1.0718 |   3.5440   1.4070   0.0000   2.1620   1.9881   1.1354
077/120 8.00e-06   3:26:40 |   3.3522   1.3432   0.0000   1.8513   1.8786   1.0671 |   3.5132   1.4197   0.0000   2.2721   1.9668   1.1407
078/120 8.00e-06   3:21:51 |   3.3494   1.3432   0.0000   1.8723   1.8768   1.0711 |   3.5165   1.4145   0.0000   2.2081   1.9697   1.1344
079/120 8.00e-06   3:17:03 |   3.3514   1.3470   0.0000   1.8679   1.8775   1.0683 |   3.5169   1.4081   0.0000   2.1665   1.9710   1.1333
080/120 8.00e-06   3:12:16 |   3.3284   1.3394   0.0000   1.9203   1.8643   1.0692 |   3.4825   1.4170   0.0000   2.2712   1.9481   1.1317
081/120 8.00e-06   3:07:28 |   3.3485   1.3456   0.0000   1.8985   1.8759   1.0691 |   3.4709   1.4090   0.0000   2.1458   1.9421   1.1282
082/120 8.00e-06   3:02:39 |   3.3202   1.3415   0.0000   1.8787   1.8588   1.0664 |   3.4477   1.3998   0.0000   2.1165   1.9290   1.1363
083/120 8.00e-06   2:57:49 |   3.3056   1.3402   0.0000   1.9238   1.8499   1.0690 |   3.4203   1.4055   0.0000   2.3329   1.9110   1.1362
084/120 8.00e-06   2:53:01 |   3.2814   1.3374   0.0000   1.9641   1.8353   1.0665 |   3.3956   1.4008   0.0000   2.2429   1.8963   1.1347
085/120 8.00e-06   2:48:13 |   3.2933   1.3452   0.0000   1.9040   1.8415   1.0636 |   3.3684   1.3998   0.0000   2.3117   1.8794   1.1389
086/120 8.00e-06   2:43:24 |   3.2758   1.3478   0.0000   1.9383   1.8302   1.0649 |   3.3951   1.3929   0.0000   2.1757   1.8972   1.1385
087/120 8.00e-06   2:38:37 |   3.2744   1.3451   0.0000   1.9214   1.8297   1.0635 |   3.3674   1.3933   0.0000   2.1706   1.8798   1.1380
088/120 8.00e-06   2:33:49 |   3.2582   1.3499   0.0000   1.9305   1.8188   1.0659 |   3.3554   1.3951   0.0000   2.3434   1.8720   1.1376
089/120 8.00e-06   2:29:00 |   3.2536   1.3409   0.0000   1.9600   1.8173   1.0647 |   3.3214   1.3941   0.0000   2.3932   1.8509   1.1440
090/120 8.00e-06   2:24:12 |   3.2446   1.3413   0.0000   2.0065   1.8117   1.0631 |   3.3276   1.3886   0.0000   2.3170   1.8556   1.1451
091/120 8.00e-06   2:19:25 |   3.2123   1.3404   0.0000   2.0175   1.7916   1.0646 |   3.3542   1.3848   0.0000   2.2387   1.8729   1.1435
092/120 8.00e-06   2:14:36 |   3.2190   1.3405   0.0000   1.9800   1.7958   1.0637 |   3.3291   1.3864   0.0000   2.3324   1.8569   1.1451
093/120 8.00e-06   2:09:49 |   3.2098   1.3482   0.0000   2.0424   1.7888   1.0655 |   3.3359   1.3887   0.0000   2.3262   1.8608   1.1447
094/120 8.00e-06   2:05:00 |   3.1809   1.3447   0.0000   2.0777   1.7713   1.0662 |   3.2820   1.3831   0.0000   2.4009   1.8280   1.1459
095/120 8.00e-06   2:00:12 |   3.1621   1.3428   0.0000   2.0784   1.7599   1.0621 |   3.2997   1.3834   0.0000   2.3497   1.8390   1.1462
096/120 8.00e-06   1:55:24 |   3.1837   1.3397   0.0000   2.0393   1.7739   1.0625 |   3.2529   1.3858   0.0000   2.5400   1.8094   1.1508
097/120 8.00e-06   1:50:35 |   3.1732   1.3468   0.0000   2.0572   1.7662   1.0630 |   3.2673   1.3826   0.0000   2.4116   1.8188   1.1532
098/120 8.00e-06   1:45:46 |   3.1500   1.3349   0.0000   2.0990   1.7535   1.0617 |   3.2303   1.3859   0.0000   2.6141   1.7952   1.1538
099/120 8.00e-06   1:40:57 |   3.1254   1.3352   0.0000   2.0988   1.7381   1.0608 |   3.2395   1.3907   0.0000   2.6214   1.8002   1.1483
100/120 8.00e-06   1:36:09 |   3.1275   1.3419   0.0000   2.1415   1.7383   1.0608 |   3.2035   1.3844   0.0000   2.6086   1.7786   1.1604
101/120 8.00e-06   1:31:19 |   3.1149   1.3376   0.0000   2.1691   1.7312   1.0601 |   3.2589   1.3819   0.0000   2.4697   1.8137   1.1512
102/120 8.00e-06   1:26:31 |   3.1108   1.3426   0.0000   2.1885   1.7278   1.0638 |   3.2136   1.3809   0.0000   2.5096   1.7855   1.1524
103/120 8.00e-06   1:21:43 |   3.1047   1.3389   0.0000   2.1595   1.7246   1.0617 |   3.1795   1.3870   0.0000   2.7639   1.7633   1.1563
104/120 8.00e-06   1:16:55 |   3.0816   1.3311   0.0000   2.2591   1.7114   1.0604 |   3.1777   1.3852   0.0000   2.7718   1.7624   1.1541
105/120 8.00e-06   1:12:06 |   3.0667   1.3351   0.0000   2.2059   1.7014   1.0594 |   3.1780   1.3764   0.0000   2.5918   1.7639   1.1573
106/120 8.00e-06   1:07:18 |   3.0634   1.3373   0.0000   2.2564   1.6990   1.0618 |   3.1413   1.3821   0.0000   2.8282   1.7401   1.1578
107/120 8.00e-06   1:02:29 |   3.0549   1.3404   0.0000   2.2539   1.6933   1.0594 |   3.1352   1.3829   0.0000   2.7448   1.7362   1.1570
108/120 8.00e-06     57:41 |   3.0345   1.3348   0.0000   2.3193   1.6814   1.0595 |   3.1487   1.3828   0.0000   2.8126   1.7447   1.1529
109/120 8.00e-06     52:52 |   3.0495   1.3339   0.0000   2.2830   1.6909   1.0550 |   3.1621   1.3783   0.0000   2.6730   1.7537   1.1551
110/120 8.00e-06     48:04 |   3.0117   1.3332   0.0000   2.3462   1.6674   1.0596 |   3.2097   1.3777   0.0000   2.6158   1.7836   1.1535
111/120 8.00e-06     43:15 |   2.9982   1.3259   0.0000   2.3468   1.6601   1.0520 |   3.1412   1.3777   0.0000   2.7799   1.7408   1.1602
112/120 4.00e-06     38:27 |   2.9931   1.3310   0.0000   2.4409   1.6561   1.0562 |   3.1448   1.3767   0.0000   2.7237   1.7431   1.1560
113/120 4.00e-06     33:38 |   2.9908   1.3328   0.0000   2.3895   1.6544   1.0548 |   3.1473   1.3759   0.0000   2.6941   1.7448   1.1591
114/120 4.00e-06     28:50 |   2.9720   1.3268   0.0000   2.4508   1.6436   1.0547 |   3.1045   1.3789   0.0000   2.9246   1.7176   1.1621
115/120 4.00e-06     24:02 |   2.9652   1.3310   0.0000   2.3873   1.6387   1.0529 |   3.0882   1.3791   0.0000   2.9184   1.7074   1.1644
116/120 4.00e-06     19:14 |   2.9609   1.3318   0.0000   2.4404   1.6359   1.0544 |   3.1213   1.3764   0.0000   2.7786   1.7285   1.1620
117/120 4.00e-06     14:25 |   2.9504   1.3284   0.0000   2.4121   1.6299   1.0536 |   3.1103   1.3781   0.0000   2.8666   1.7213   1.1603
118/120 4.00e-06     09:37 |   2.9334   1.3194   0.0000   2.5018   1.6206   1.0543 |   3.1139   1.3764   0.0000   2.8378   1.7238   1.1622
119/120 4.00e-06     04:48 |   2.9365   1.3248   0.0000   2.4296   1.6217   1.0540 |   3.1078   1.3767   0.0000   2.8751   1.7200   1.1639
120/120 4.00e-06     00:00 |   2.9522   1.3271   0.0000   2.4669   1.6312   1.0561 |   3.1240   1.3780   0.0000   2.8602   1.7299   1.1602
select_best epoch=120 best_epoch=117 best_metric=1.7213
13C run complete: artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/13C/runs/13C_finetune_commutative_cnn_20260705_131931
