Experiment id: 13C_finetune_commutative_cnn_20260704_051554
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/13C/runs/13C_finetune_commutative_cnn_20260704_051554
Using pretrained encoder checkpoint: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245/10C_pretrain_commutative_cnn_20260703_031245_encoder_state.pt
Fine-tune loss PDFs: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/13C/runs/13C_finetune_commutative_cnn_20260704_051554/loss_plots/fine_tune
Commutative CNN model: parameters=183,903 trainable=183,903 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trA=train_action_loss
    trWO=train_water_vs_other_loss
    trFA=train_feature_alignment_loss
    trCo=train_compound_loss
    trCn=train_concentration_loss
    vaL=val_loss
    vaA=val_action_loss
    vaWO=val_water_vs_other_loss
    vaFA=val_feature_alignment_loss
    vaCo=val_compound_loss
    vaCn=val_concentration_loss
     ep       lr       eta |      trL      trA     trWO     trFA     trCo     trCn |      vaL      vaA     vaWO     vaFA     vaCo     vaCn
074/120 1.00e-06   4:27:23 |   3.1212   1.2035   0.6201   2.8098   2.0588   1.0687 |   3.3563   1.1686   0.7047   2.9095   2.2477   1.1403
075/120 1.00e-06   4:21:34 |   3.1157   1.2028   0.6201   2.7703   2.0548   1.0672 |   3.3552   1.1686   0.7049   2.9263   2.2468   1.1407
076/120 1.00e-06   4:15:45 |   3.1118   1.1946   0.6225   2.8134   2.0540   1.0669 |   3.3550   1.1685   0.7049   2.9304   2.2467   1.1407
077/120 1.00e-06   4:09:56 |   3.1061   1.2026   0.6211   2.8429   2.0475   1.0643 |   3.3559   1.1681   0.7050   2.9297   2.2475   1.1406
078/120 1.00e-06   4:04:07 |   3.1086   1.2034   0.6206   2.8173   2.0491   1.0659 |   3.3553   1.1679   0.7042   2.9118   2.2472   1.1396
079/120 1.00e-06   3:58:18 |   3.1152   1.2091   0.6210   2.7790   2.0526   1.0678 |   3.3539   1.1682   0.7046   2.9327   2.2459   1.1406
080/120 1.00e-06   3:52:27 |   3.1109   1.2009   0.6199   2.8185   2.0517   1.0642 |   3.3546   1.1679   0.7048   2.9304   2.2466   1.1404
081/120 1.00e-06   3:46:40 |   3.1189   1.2019   0.6213   2.7723   2.0575   1.0651 |   3.3540   1.1678   0.7043   2.9247   2.2461   1.1402
082/120 1.00e-06   3:40:49 |   3.1271   1.2036   0.6208   2.7761   2.0633   1.0681 |   3.3533   1.1678   0.7044   2.9340   2.2456   1.1402
083/120 1.00e-06   3:34:59 |   3.1164   1.1986   0.6229   2.8131   2.0565   1.0653 |   3.3555   1.1671   0.7044   2.9197   2.2475   1.1394
084/120 1.00e-06   3:29:09 |   3.1138   1.2111   0.6204   2.7833   2.0511   1.0680 |   3.3553   1.1668   0.7039   2.9038   2.2475   1.1386
085/120 1.00e-06   3:23:19 |   3.1102   1.1979   0.6196   2.7549   2.0518   1.0682 |   3.3541   1.1671   0.7045   2.9331   2.2464   1.1401
086/120 1.00e-06   3:17:29 |   3.1078   1.2015   0.6209   2.7830   2.0491   1.0667 |   3.3530   1.1671   0.7044   2.9371   2.2456   1.1401
087/120 1.00e-06   3:11:39 |   3.1055   1.1978   0.6198   2.8007   2.0482   1.0676 |   3.3518   1.1674   0.7048   2.9539   2.2446   1.1408
early_stop epoch=087 best_epoch=073 best_metric=2.2461
13C run complete: artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/13C/runs/13C_finetune_commutative_cnn_20260704_051554
