Experiment id: 10C_pretrain_commutative_cnn_20260625_152717
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260625_152652_a8e2d2/outputs/10C/runs/10C_pretrain_commutative_cnn_20260625_152717
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260625_152652_a8e2d2/outputs/10C/runs/10C_pretrain_commutative_cnn_20260625_152717/10C_pretrain_commutative_cnn_20260625_152717_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
059/140 3.00e-05  24:34:08 |   1.2741   1.2741   0.3953   4.1589   0.2540 |   3.6110   3.6110   0.8035   4.1589   0.2470
060/140 3.00e-05  24:04:19 |   1.2335   1.2335   0.4328   4.1589   0.2535 |   3.4703   3.4703   0.8780   4.1589   0.2492
061/140 3.00e-05  23:35:03 |   1.3117   1.3117   0.3776   4.1589   0.2478 |   3.4087   3.4087   0.9195   4.1589   0.2459
062/140 3.00e-05  23:06:29 |   1.1104   1.1104   0.4996   4.1589   0.2468 |   3.3135   3.3135   0.9644   4.1589   0.2473
063/140 3.00e-05  22:38:28 |   1.1789   1.1789   0.4896   4.1589   0.2463 |   3.2264   3.2264   1.0235   4.1589   0.2455
064/140 3.00e-05  22:11:08 |   1.2033   1.2033   0.4484   4.1589   0.2430 |   3.1337   3.1337   1.0715   4.1589   0.2447
065/140 3.00e-05  21:47:15 |   1.0908   1.0908   0.4953   4.1589   0.2453 |   3.0247   3.0247   1.1513   4.1589   0.2430
066/140 3.00e-05  21:42:49 |   1.1787   1.1787   0.4713   4.1589   0.2431 |   2.9173   2.9173   1.2250   4.1589   0.2450
067/140 3.00e-05  21:26:10 |   0.9582   0.9582   0.6224   4.1589   0.2412 |   2.8159   2.8159   1.3063   4.1589   0.2435
068/140 3.00e-05  21:00:46 |   0.9825   0.9825   0.6776   4.1589   0.2423 |   2.7255   2.7255   1.3596   4.1589   0.2419
069/140 3.00e-05  20:36:00 |   0.9402   0.9402   0.6221   4.1589   0.2378 |   2.6345   2.6345   1.4194   4.1589   0.2409
070/140 3.00e-05  20:11:34 |   0.9112   0.9112   0.7268   4.1589   0.2367 |   2.5530   2.5530   1.4880   4.1589   0.2401
071/140 3.00e-05  19:50:50 |   0.9332   0.9332   0.6258   4.1589   0.2324 |   2.4384   2.4384   1.5865   4.1589   0.2393
072/140 3.00e-05  19:45:03 |   0.8016   0.8016   0.7329   4.1589   0.2341 |   2.3503   2.3503   1.6558   4.1589   0.2382
073/140 3.00e-05  19:34:11 |   0.8591   0.8591   0.7745   4.1589   0.2353 |   2.2603   2.2603   1.7453   4.1589   0.2387
074/140 3.00e-05  19:10:22 |   0.6842   0.6842   0.9705   4.1589   0.2369 |   2.1824   2.1824   1.8093   4.1589   0.2390
075/140 3.00e-05  18:46:06 |   0.7190   0.7190   0.9357   4.1589   0.2323 |   2.1045   2.1045   1.8811   4.1589   0.2381
076/140 3.00e-05  18:22:15 |   0.8468   0.8468   0.7803   4.1589   0.2325 |   2.0115   2.0115   1.9991   4.1589   0.2395
077/140 3.00e-05  17:58:36 |   0.8487   0.8487   0.7221   4.1589   0.2280 |   1.8856   1.8856   2.1390   4.1589   0.2379
078/140 3.00e-05  17:35:26 |   0.6929   0.6929   0.8480   4.1589   0.2286 |   1.7970   1.7970   2.2457   4.1589   0.2395
079/140 3.00e-05  17:12:30 |   0.5505   0.5505   1.1642   4.1589   0.2282 |   1.7115   1.7115   2.3383   4.1589   0.2397
080/140 3.00e-05  16:50:00 |   0.5793   0.5793   1.0770   4.1589   0.2283 |   1.6452   1.6452   2.4146   4.1589   0.2401
081/140 3.00e-05  16:27:46 |   0.5603   0.5603   1.0263   4.1589   0.2258 |   1.5545   1.5545   2.5417   4.1589   0.2385
082/140 3.00e-05  16:05:55 |   0.6563   0.6563   0.9185   4.1589   0.2253 |   1.4979   1.4979   2.6123   4.1589   0.2388
083/140 3.00e-05  15:49:37 |   0.6712   0.6712   0.8886   4.1589   0.2304 |   1.3923   1.3923   2.7838   4.1589   0.2407
084/140 3.00e-05  15:40:29 |   0.5148   0.5148   1.2308   4.1589   0.2312 |   1.3147   1.3147   2.8854   4.1589   0.2405
085/140 3.00e-05  15:28:53 |   0.6375   0.6375   1.0116   4.1589   0.2221 |   1.2361   1.2361   3.0396   4.1589   0.2405
086/140 3.00e-05  15:07:26 |   0.4773   0.4773   1.1796   4.1589   0.2231 |   1.1606   1.1606   3.1859   4.1589   0.2404
087/140 3.00e-05  14:46:10 |   0.5091   0.5091   1.0863   4.1589   0.2216 |   1.0883   1.0883   3.3465   4.1589   0.2417
088/140 3.00e-05  14:27:31 |   0.3880   0.3880   1.5733   4.1589   0.2267 |   1.0324   1.0324   3.4036   4.1589   0.2422
089/140 3.00e-05  14:17:28 |   0.4425   0.4425   1.4779   4.1589   0.2252 |   0.9961   0.9961   3.4394   4.1589   0.2412
090/140 3.00e-05  14:02:15 |   0.4516   0.4516   1.2146   4.1589   0.2226 |   0.9190   0.9190   3.6471   4.1589   0.2439
091/140 3.00e-05  13:41:29 |   0.3936   0.3936   1.3427   4.1589   0.2238 |   0.8642   0.8642   3.7767   4.1589   0.2440
092/140 3.00e-05  13:22:04 |   0.4397   0.4397   1.5404   4.1589   0.2284 |   0.8203   0.8203   3.8269   4.1589   0.2428
093/140 3.00e-05  13:05:45 |   0.5041   0.5041   1.0775   4.1589   0.2223 |   0.7474   0.7474   4.0848   4.1589   0.2449
094/140 3.00e-05  12:47:51 |   0.3888   0.3888   1.4303   4.1589   0.2221 |   0.7013   0.7013   4.1708   4.1589   0.2444
095/140 3.00e-05  12:39:41 |   0.3287   0.3287   1.6148   4.1589   0.2230 |   0.6693   0.6693   4.2206   4.1589   0.2439
096/140 3.00e-05  12:32:45 |   0.2629   0.2629   1.9863   4.1589   0.2257 |   0.6692   0.6692   4.0908   4.1589   0.2413
097/140 3.00e-05  12:25:13 |   0.2352   0.2352   1.8504   4.1589   0.2256 |   0.5947   0.5947   4.4266   4.1589   0.2477
098/140 3.00e-05  12:17:01 |   0.2549   0.2549   1.7079   4.1589   0.2256 |   0.5504   0.5504   4.5966   4.1589   0.2483
099/140 3.00e-05  12:08:08 |   0.3157   0.3157   1.5490   4.1589   0.2209 |   0.5107   0.5107   4.7423   4.1589   0.2490
100/140 3.00e-05  11:58:44 |   0.4660   0.4660   1.6831   4.1589   0.2253 |   0.5159   0.5159   4.4810   4.1589   0.2419
101/140 3.00e-05  11:48:43 |   0.2509   0.2509   1.6569   4.1589   0.2202 |   0.4354   0.4354   4.9553   4.1589   0.2494
102/140 3.00e-05  11:38:11 |   0.3181   0.3181   1.7623   4.1589   0.2234 |   0.4147   0.4147   4.9089   4.1589   0.2471
103/140 3.00e-05  11:27:05 |   0.2592   0.2592   1.8353   4.1589   0.2244 |   0.3871   0.3871   4.9692   4.1589   0.2473
104/140 3.00e-05  11:15:29 |   0.2487   0.2487   2.1305   4.1589   0.2246 |   0.3909   0.3909   4.8704   4.1589   0.2449
105/140 3.00e-05  11:03:21 |   0.2120   0.2120   2.2200   4.1589   0.2216 |   0.3638   0.3638   5.0520   4.1589   0.2468
106/140 3.00e-05  10:50:43 |   0.2029   0.2029   1.9664   4.1589   0.2237 |   0.3391   0.3391   5.2369   4.1589   0.2489
107/140 3.00e-05  10:37:36 |   0.2353   0.2353   2.1570   4.1589   0.2259 |   0.3349   0.3349   5.0360   4.1589   0.2444
108/140 3.00e-05  10:24:03 |   0.2217   0.2217   1.9532   4.1589   0.2223 |   0.2946   0.2946   5.2920   4.1589   0.2470
109/140 3.00e-05  10:09:58 |   0.2211   0.2211   2.2938   4.1589   0.2257 |   0.3351   0.3351   4.9405   4.1589   0.2404
110/140 3.00e-05   9:55:29 |   0.1964   0.1964   2.7096   4.1589   0.2251 |   0.3845   0.3845   4.6767   4.1589   0.2391
111/140 3.00e-05   9:38:50 |   0.1647   0.1647   2.1775   4.1589   0.2221 |   0.3176   0.3176   4.9558   4.1589   0.2421
112/140 3.00e-05   9:17:09 |   0.1455   0.1455   2.0592   4.1589   0.2209 |   0.2686   0.2686   5.2542   4.1589   0.2451
113/140 3.00e-05   8:59:39 |   0.2519   0.2519   1.8218   4.1589   0.2207 |   0.2219   0.2219   5.6136   4.1589   0.2482
114/140 3.00e-05   8:43:20 |   0.1416   0.1416   2.8778   4.1589   0.2243 |   0.5177   0.5177   4.2339   4.1589   0.2260
115/140 3.00e-05   8:26:44 |   0.5393   0.5393   1.3354   4.1589   0.2054 |   0.2498   0.2498   5.2417   4.1589   0.2343
116/140 3.00e-05   8:09:42 |   0.1866   0.1866   2.0302   4.1589   0.2130 |   0.2251   0.2251   5.4048   4.1589   0.2368
117/140 3.00e-05   7:52:20 |   0.2441   0.2441   2.0735   4.1589   0.2146 |   0.2532   0.2532   5.2574   4.1589   0.2351
118/140 3.00e-05   7:34:42 |   0.2343   0.2343   1.6693   4.1589   0.2127 |   0.1723   0.1723   5.8399   4.1589   0.2431
119/140 3.00e-05   7:16:43 |   0.2110   0.2110   2.9783   4.1589   0.2224 |   0.1859   0.1859   5.6446   4.1589   0.2426
120/140 3.00e-05   6:58:29 |   0.1792   0.1792   2.1776   4.1589   0.2168 |   0.1712   0.1712   5.7888   4.1589   0.2449
121/140 3.00e-05   6:39:55 |   0.1527   0.1527   2.5038   4.1589   0.2222 |   0.1795   0.1795   5.6177   4.1589   0.2440
122/140 3.00e-05   6:21:05 |   0.1662   0.1662   1.8854   4.1589   0.2186 |   0.1526   0.1526   5.9206   4.1589   0.2475
123/140 3.00e-05   6:01:57 |   0.1709   0.1709   2.0367   4.1589   0.2209 |   0.1398   0.1398   6.1421   4.1589   0.2491
124/140 3.00e-05   5:42:34 |   0.1973   0.1973   2.0549   4.1589   0.2192 |   0.1341   0.1341   6.3007   4.1589   0.2508
125/140 3.00e-05   5:22:54 |   0.2144   0.2144   2.0209   4.1589   0.2204 |   0.1198   0.1198   6.3684   4.1589   0.2503
126/140 3.00e-05   5:02:59 |   0.1675   0.1675   2.4285   4.1589   0.2194 |   0.1220   0.1220   6.2704   4.1589   0.2500
127/140 3.00e-05   4:42:48 |   0.1461   0.1461   2.6343   4.1589   0.2251 |   0.1258   0.1258   6.1208   4.1589   0.2487
128/140 3.00e-05   4:22:23 |   0.3484   0.3484   2.3898   4.1589   0.2186 |   0.1901   0.1901   5.5447   4.1589   0.2411
129/140 3.00e-05   4:01:43 |   0.1701   0.1701   1.9949   4.1589   0.2169 |   0.1318   0.1318   5.9624   4.1589   0.2455
130/140 1.50e-05   3:40:50 |   0.1183   0.1183   2.8046   4.1589   0.2198 |   0.1905   0.1905   5.5243   4.1589   0.2392
131/140 1.50e-05   3:19:42 |   0.1766   0.1766   1.7850   4.1589   0.2172 |   0.1534   0.1534   5.7878   4.1589   0.2431
132/140 1.50e-05   2:58:21 |   0.1728   0.1728   1.8940   4.1589   0.2171 |   0.1207   0.1207   6.0843   4.1589   0.2461
133/140 1.50e-05   2:36:47 |   0.1761   0.1761   2.0420   4.1589   0.2214 |   0.1159   0.1159   6.1664   4.1589   0.2466
134/140 1.50e-05   2:15:00 |   0.2105   0.2105   2.5443   4.1589   0.2215 |   0.1096   0.1096   6.2080   4.1589   0.2478
135/140 1.50e-05   1:53:00 |   0.1476   0.1476   2.1421   4.1589   0.2200 |   0.1069   0.1069   6.2615   4.1589   0.2480
136/140 1.50e-05   1:30:48 |   0.1249   0.1249   2.8591   4.1589   0.2231 |   0.1114   0.1114   6.1585   4.1589   0.2476
137/140 1.50e-05   1:08:23 |   0.1121   0.1121   2.2849   4.1589   0.2210 |   0.1081   0.1081   6.1818   4.1589   0.2479
138/140 1.50e-05     45:47 |   0.1704   0.1704   2.1631   4.1589   0.2221 |   0.1027   0.1027   6.2630   4.1589   0.2490
139/140 1.50e-05     22:59 |   0.1120   0.1120   2.7141   4.1589   0.2225 |   0.1156   0.1156   6.0794   4.1589   0.2471
140/140 1.50e-05     00:00 |   0.1160   0.1160   2.5104   4.1589   0.2233 |   0.1169   0.1169   6.0449   4.1589   0.2470
Updated latest commutative CNN pretraining config at /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260625_152652_a8e2d2/outputs/10C/config.yaml
10C run complete: artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260625_152652_a8e2d2/outputs/10C/runs/10C_pretrain_commutative_cnn_20260625_152717
