Experiment id: 10C_pretrain_commutative_cnn_20260629_100055
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/10C/runs/10C_pretrain_commutative_cnn_20260629_100055
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/10C/runs/10C_pretrain_commutative_cnn_20260629_100055/10C_pretrain_commutative_cnn_20260629_100055_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
121/140 3.00e-05   6:09:11 |   0.1666   0.1666   2.5095   4.1589   0.2089 |   0.3065   0.3065   4.9703   4.1589   0.2214
122/140 3.00e-05   5:48:18 |   0.1916   0.1916   1.8593   4.1589   0.2033 |   0.2301   0.2301   5.4406   4.1589   0.2259
123/140 3.00e-05   5:27:34 |   0.1384   0.1384   2.5135   4.1589   0.2101 |   0.2320   0.2320   5.3806   4.1589   0.2255
124/140 3.00e-05   5:07:02 |   0.2319   0.2319   2.3144   4.1589   0.2068 |   0.2692   0.2692   5.1370   4.1589   0.2230
125/140 3.00e-05   4:46:40 |   0.2070   0.2070   2.0767   4.1589   0.2085 |   0.2497   0.2497   5.2371   4.1589   0.2227
126/140 3.00e-05   4:26:29 |   0.1673   0.1673   2.0621   4.1589   0.2063 |   0.2476   0.2476   5.2824   4.1589   0.2224
127/140 1.50e-05   4:06:27 |   0.1496   0.1496   2.3348   4.1589   0.2080 |   0.2270   0.2270   5.3787   4.1589   0.2234
128/140 1.50e-05   3:46:36 |   0.1181   0.1181   2.3825   4.1589   0.2032 |   0.2252   0.2252   5.3813   4.1589   0.2231
129/140 1.50e-05   3:26:54 |   0.2207   0.2207   2.0384   4.1589   0.2029 |   0.1815   0.1815   5.6740   4.1589   0.2256
130/140 1.50e-05   3:07:23 |   0.1330   0.1330   2.3620   4.1589   0.2041 |   0.1901   0.1901   5.5958   4.1589   0.2249
131/140 1.50e-05   2:48:00 |   0.1340   0.1340   2.7330   4.1589   0.2077 |   0.1978   0.1978   5.4980   4.1589   0.2243
132/140 1.50e-05   2:28:46 |   0.1314   0.1314   2.2249   4.1589   0.2053 |   0.1810   0.1810   5.6293   4.1589   0.2252
133/140 1.50e-05   2:09:41 |   0.1368   0.1368   2.5841   4.1589   0.2067 |   0.1885   0.1885   5.5537   4.1589   0.2246
134/140 1.50e-05   1:50:46 |   0.2312   0.2312   2.1603   4.1589   0.2011 |   0.1759   0.1759   5.6582   4.1589   0.2255
135/140 1.50e-05   1:31:58 |   0.2324   0.2324   1.7673   4.1589   0.2034 |   0.1577   0.1577   5.8444   4.1589   0.2257
136/140 1.50e-05   1:13:18 |   0.1837   0.1837   1.9291   4.1589   0.2045 |   0.1440   0.1440   6.0486   4.1589   0.2275
137/140 1.50e-05     54:47 |   0.1693   0.1693   2.0994   4.1589   0.2039 |   0.1381   0.1381   6.1632   4.1589   0.2277
138/140 1.50e-05     36:24 |   0.1729   0.1729   2.1658   4.1589   0.2008 |   0.1416   0.1416   6.1435   4.1589   0.2278
139/140 1.50e-05     18:08 |   0.1753   0.1753   2.3655   4.1589   0.2051 |   0.1447   0.1447   5.9324   4.1589   0.2248
140/140 1.50e-05     00:00 |   0.1959   0.1959   2.5167   4.1589   0.2035 |   0.2130   0.2130   5.4320   4.1589   0.2190
Updated latest commutative CNN pretraining config at /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/10C/config.yaml
10C run complete: artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/10C/runs/10C_pretrain_commutative_cnn_20260629_100055
