Experiment id: 10C_pretrain_commutative_cnn_20260703_031245
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245/10C_pretrain_commutative_cnn_20260703_031245_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
058/140 3.00e-05  13:15:58 |   1.6521   1.6521   0.2513   4.1589   0.2934 |   4.2885   4.2885   0.5215   4.1589   0.2884
059/140 3.00e-05  13:07:16 |   1.5431   1.5431   0.2799   4.1589   0.2910 |   4.2031   4.2031   0.5561   4.1589   0.2856
060/140 3.00e-05  12:58:36 |   1.4714   1.4714   0.3088   4.1589   0.2860 |   4.1458   4.1458   0.5836   4.1589   0.2849
061/140 3.00e-05  12:49:53 |   1.5194   1.5194   0.3004   4.1589   0.2867 |   4.0518   4.0518   0.6190   4.1589   0.2833
062/140 3.00e-05  12:41:16 |   1.4207   1.4207   0.3346   4.1589   0.2856 |   3.9913   3.9913   0.6782   4.1589   0.2787
063/140 3.00e-05  12:32:27 |   1.4139   1.4139   0.3368   4.1589   0.2807 |   3.8647   3.8647   0.6992   4.1589   0.2789
064/140 3.00e-05  12:23:49 |   1.4618   1.4618   0.3144   4.1589   0.2793 |   3.7807   3.7807   0.7314   4.1589   0.2790
065/140 3.00e-05  12:14:41 |   1.3090   1.3090   0.3852   4.1589   0.2767 |   3.7084   3.7084   0.7694   4.1589   0.2768
066/140 3.00e-05  12:05:41 |   1.3050   1.3050   0.3933   4.1589   0.2762 |   3.6032   3.6032   0.8247   4.1589   0.2753
067/140 3.00e-05  11:56:28 |   1.3111   1.3111   0.3883   4.1589   0.2735 |   3.5311   3.5311   0.8587   4.1589   0.2743
068/140 3.00e-05  11:47:26 |   1.3138   1.3138   0.3742   4.1589   0.2692 |   3.4444   3.4444   0.9089   4.1589   0.2738
069/140 3.00e-05  11:38:15 |   1.1936   1.1936   0.4482   4.1589   0.2724 |   3.3359   3.3359   0.9733   4.1589   0.2723
070/140 3.00e-05  11:29:05 |   1.1419   1.1419   0.4899   4.1589   0.2698 |   3.2866   3.2866   0.9937   4.1589   0.2717
071/140 3.00e-05  11:19:47 |   1.1649   1.1649   0.4733   4.1589   0.2686 |   3.1753   3.1753   1.0556   4.1589   0.2725
072/140 3.00e-05  11:10:32 |   1.0467   1.0467   0.5732   4.1589   0.2676 |   3.0770   3.0770   1.1182   4.1589   0.2686
073/140 3.00e-05  11:01:12 |   0.9925   0.9925   0.5880   4.1589   0.2639 |   2.9764   2.9764   1.1745   4.1589   0.2683
074/140 3.00e-05  10:51:58 |   0.9768   0.9768   0.6273   4.1589   0.2629 |   2.8920   2.8920   1.2429   4.1589   0.2674
075/140 3.00e-05  10:42:34 |   0.8437   0.8437   0.7531   4.1589   0.2611 |   2.7832   2.7832   1.3068   4.1589   0.2674
076/140 3.00e-05  10:33:12 |   0.9785   0.9785   0.6147   4.1589   0.2615 |   2.7037   2.7037   1.3632   4.1589   0.2696
077/140 3.00e-05  10:23:41 |   1.1008   1.1008   0.4754   4.1589   0.2565 |   2.6490   2.6490   1.4150   4.1589   0.2679
078/140 3.00e-05  10:14:17 |   0.9252   0.9252   0.6421   4.1589   0.2567 |   2.5500   2.5500   1.4970   4.1589   0.2659
079/140 3.00e-05  10:04:45 |   1.0156   1.0156   0.5504   4.1589   0.2536 |   2.4550   2.4550   1.5653   4.1589   0.2676
080/140 3.00e-05   9:55:18 |   0.8679   0.8679   0.7261   4.1589   0.2570 |   2.3449   2.3449   1.6691   4.1589   0.2633
081/140 3.00e-05   9:45:49 |   0.8003   0.8003   0.7834   4.1589   0.2533 |   2.2620   2.2620   1.7471   4.1589   0.2641
082/140 3.00e-05   9:36:21 |   0.7241   0.7241   0.8247   4.1589   0.2519 |   2.1918   2.1918   1.7917   4.1589   0.2615
083/140 3.00e-05   9:27:03 |   0.8955   0.8955   0.7521   4.1589   0.2483 |   2.1261   2.1261   1.8395   4.1589   0.2629
084/140 3.00e-05   9:22:07 |   0.6671   0.6671   1.0544   4.1589   0.2511 |   2.0128   2.0128   1.9659   4.1589   0.2601
085/140 3.00e-05   9:27:02 |   0.6791   0.6791   1.0218   4.1589   0.2478 |   1.9348   1.9348   2.0435   4.1589   0.2615
086/140 3.00e-05   9:41:06 |   0.8518   0.8518   0.6783   4.1589   0.2420 |   1.8797   1.8797   2.1078   4.1589   0.2619
087/140 3.00e-05   9:53:11 |   0.6471   0.6471   0.9116   4.1589   0.2476 |   1.8096   1.8096   2.1924   4.1589   0.2606
088/140 3.00e-05   9:47:40 |   0.5863   0.5863   1.0911   4.1589   0.2464 |   1.7079   1.7079   2.3007   4.1589   0.2588
089/140 3.00e-05   9:35:53 |   0.5348   0.5348   1.0930   4.1589   0.2433 |   1.6236   1.6236   2.4073   4.1589   0.2599
090/140 3.00e-05   9:24:12 |   0.7171   0.7171   0.9763   4.1589   0.2438 |   1.5816   1.5816   2.4513   4.1589   0.2608
091/140 3.00e-05   9:12:29 |   0.5350   0.5350   1.1155   4.1589   0.2451 |   1.4956   1.4956   2.5951   4.1589   0.2587
092/140 3.00e-05   9:00:51 |   0.5390   0.5390   1.1512   4.1589   0.2465 |   1.3932   1.3932   2.7197   4.1589   0.2599
