compound,compound_class,mechanism_of_action,image_run_dir,image_run_dir_relative,source_batch,dir_name,folder_status
Meperidine,Opioid analgesics,μ-opioid R agonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Meperidine (pethidine) Run 1 13 Aug 2018,FOURTH BATCH 2018/Meperidine (pethidine) Run 1 13 Aug 2018,FOURTH BATCH 2018,Meperidine (pethidine) Run 1 13 Aug 2018,active
Meperidine,Opioid analgesics,μ-opioid R agonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Meperidine (pethidine) Run 2 17 Aug 2018,FOURTH BATCH 2018/Meperidine (pethidine) Run 2 17 Aug 2018,FOURTH BATCH 2018,Meperidine (pethidine) Run 2 17 Aug 2018,active
Mizolastine,"Mixed classes, no known link to seizures",H1R antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Mizolastine Run 1 20 July 2017,THIRD BATCH convulsants/Mizolastine Run 1 20 July 2017,THIRD BATCH convulsants,Mizolastine Run 1 20 July 2017,active
Mizolastine,"Mixed classes, no known link to seizures",H1R antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Mizolastine Run 2 21 July 2017,THIRD BATCH convulsants/Mizolastine Run 2 21 July 2017,THIRD BATCH convulsants,Mizolastine Run 2 21 July 2017,active
Morphine,Opioid analgesics,μ-δ-opioidR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Morphine run 1 29 aug 2017,THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Morphine run 1 29 aug 2017,THIRD BATCH convulsants,Morphine run 1 29 aug 2017,active
Morphine,Opioid analgesics,μ-δ-opioidR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Morphine run 2 1 spet 2017,THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Morphine run 2 1 spet 2017,THIRD BATCH convulsants,Morphine run 2 1 spet 2017,active
Muscarine,Muscarinic agonists,mAChR agonism (non selective),/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Muscarine Run 1 13 April 2018,FOURTH BATCH 2018/Muscarine Run 1 13 April 2018,FOURTH BATCH 2018,Muscarine Run 1 13 April 2018,active
Muscarine,Muscarinic agonists,mAChR agonism (non selective),/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Muscarine Run 2 16 April 2018,FOURTH BATCH 2018/Muscarine Run 2 16 April 2018,FOURTH BATCH 2018,Muscarine Run 2 16 April 2018,active
N-methyl-D-aspartate,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/NMDA 16 Dec 2016,SECOND BATCH convulsants/NMDA 16 Dec 2016,SECOND BATCH convulsants,NMDA 16 Dec 2016,active
N-methyl-D-aspartate,Glutamate agonists,NMDAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/NMDA 16 Jan 2017,SECOND BATCH convulsants/NMDA 16 Jan 2017,SECOND BATCH convulsants,NMDA 16 Jan 2017,active
Neostigmine,ACh esterase inhibitors,Reversible AChE inhibition (no BBB penetration),/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Neostigmine Run 1 3 Dec 2018,FOURTH BATCH 2018/Neostigmine Run 1 3 Dec 2018,FOURTH BATCH 2018,Neostigmine Run 1 3 Dec 2018,active
Neostigmine,ACh esterase inhibitors,Reversible AChE inhibition (no BBB penetration),/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Neostigmine Run 2 4 dec 2018,FOURTH BATCH 2018/Neostigmine Run 2 4 dec 2018,FOURTH BATCH 2018,Neostigmine Run 2 4 dec 2018,active
Nomifensine,NDRI Antidepressant,NA/DA reuptake inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Nomifensine Run 1 26 Jan 2018,FOURTH BATCH 2018/Nomifensine Run 1 26 Jan 2018,FOURTH BATCH 2018,Nomifensine Run 1 26 Jan 2018,active
Nomifensine,NDRI Antidepressant,NA/DA reuptake inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Nomifensine Run 2 29 Jan 2018,FOURTH BATCH 2018/Nomifensine Run 2 29 Jan 2018,FOURTH BATCH 2018,Nomifensine Run 2 29 Jan 2018,active
Olanzapine,Atypical antipsychotics,D2R/a1R/H1R/mAChR/5-HT2R antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Olanzapine Run 1 20 Mar 2018,FOURTH BATCH 2018/Olanzapine Run 1 20 Mar 2018,FOURTH BATCH 2018,Olanzapine Run 1 20 Mar 2018,active
Olanzapine,Atypical antipsychotics,D2R/a1R/H1R/mAChR/5-HT2R antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Olanzapine Run 2 26 Mar 2018,FOURTH BATCH 2018/Olanzapine Run 2 26 Mar 2018,FOURTH BATCH 2018,Olanzapine Run 2 26 Mar 2018,active
Oxotremorine,Muscarinic agonists,mAChR and nAChR agonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Oxotremorine Run 1 20 Nov 2018,FOURTH BATCH 2018/Oxotremorine Run 1 20 Nov 2018,FOURTH BATCH 2018,Oxotremorine Run 1 20 Nov 2018,active
Oxotremorine,Muscarinic agonists,mAChR and nAChR agonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Oxotremorine Run 2 21 Nov 2018,FOURTH BATCH 2018/Oxotremorine Run 2 21 Nov 2018,FOURTH BATCH 2018,Oxotremorine Run 2 21 Nov 2018,active
PF06767832****,Muscarinic agonists,M1 selective mACHR agonist,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/PF06767832 Run 2 6 Mar 2019 (POOR SOLUBILITY),FOURTH BATCH 2018/PF06767832 Run 2 6 Mar 2019 (POOR SOLUBILITY),FOURTH BATCH 2018,PF06767832 Run 2 6 Mar 2019 (POOR SOLUBILITY),active
PF06767832****,Muscarinic agonists,M1 selective mACHR agonist,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/PF06767832 run 1 5 Mar 2018 (POOR SOLUBILITY),FOURTH BATCH 2018/PF06767832 run 1 5 Mar 2018 (POOR SOLUBILITY),FOURTH BATCH 2018,PF06767832 run 1 5 Mar 2018 (POOR SOLUBILITY),active
Paraxanthine,Methylxanthine derivatives,P1 antagonism and PDE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Paraxanthine Run 1 5 Dec 2018,FOURTH BATCH 2018/Paraxanthine Run 1 5 Dec 2018,FOURTH BATCH 2018,Paraxanthine Run 1 5 Dec 2018,active
Paraxanthine,Methylxanthine derivatives,P1 antagonism and PDE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Paraxanthine Run 2 7 Dec 2018,FOURTH BATCH 2018/Paraxanthine Run 2 7 Dec 2018,FOURTH BATCH 2018,Paraxanthine Run 2 7 Dec 2018,active
Pentylenetetrazole,Analeptics,GABAAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/PTZ,FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/PTZ,FIRST BATCH convulsants,PTZ,active
Pentylenetetrazole,Analeptics,GABAAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/PTZ_Round2_0.2OD,FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/PTZ_Round2_0.2OD,FIRST BATCH convulsants,PTZ_Round2_0.2OD,active
Pentylenetetrazole,Analeptics,GABAAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/PTZ ReRun 1 4 feb 2019,FOURTH BATCH 2018/PTZ ReRun 1 4 feb 2019,FOURTH BATCH 2018,PTZ ReRun 1 4 feb 2019,active
