Experiment id: 10C_pretrain_commutative_cnn_20260701_130752
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752/10C_pretrain_commutative_cnn_20260701_130752_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
105/140 3.00e-05   5:58:36 |   0.3062   0.3062   1.6392   4.1589   0.2152 |   0.6575   0.6575   4.4323   4.1589   0.2524
106/140 3.00e-05   5:48:07 |   0.2870   0.2870   1.7331   4.1589   0.2160 |   0.6251   0.6251   4.4645   4.1589   0.2518
107/140 3.00e-05   5:37:39 |   0.3135   0.3135   1.7099   4.1589   0.2184 |   0.5844   0.5844   4.6120   4.1589   0.2542
108/140 3.00e-05   5:27:13 |   0.3438   0.3438   1.7054   4.1589   0.2164 |   0.5675   0.5675   4.5311   4.1589   0.2493
109/140 3.00e-05   5:16:46 |   0.3302   0.3302   1.7480   4.1589   0.2208 |   0.5220   0.5220   4.8054   4.1589   0.2512
110/140 3.00e-05   5:06:24 |   0.2260   0.2260   2.0709   4.1589   0.2209 |   0.5274   0.5274   4.4946   4.1589   0.2450
111/140 3.00e-05   4:56:00 |   0.3130   0.3130   1.5617   4.1589   0.2162 |   0.4560   0.4560   5.0091   4.1589   0.2514
112/140 3.00e-05   4:45:38 |   0.2773   0.2773   2.0622   4.1589   0.2180 |   0.5265   0.5265   4.3410   4.1589   0.2401
113/140 3.00e-05   4:35:17 |   0.2751   0.2751   1.8104   4.1589   0.2136 |   0.4435   0.4435   4.7344   4.1589   0.2442
114/140 3.00e-05   4:24:57 |   0.2162   0.2162   2.0596   4.1589   0.2142 |   0.4223   0.4223   4.8027   4.1589   0.2443
115/140 3.00e-05   4:14:37 |   0.1854   0.1854   2.1582   4.1589   0.2076 |   0.4176   0.4176   4.7151   4.1589   0.2428
116/140 3.00e-05   4:04:19 |   0.2765   0.2765   1.5094   4.1589   0.2040 |   0.3361   0.3361   5.3175   4.1589   0.2504
117/140 3.00e-05   3:54:00 |   0.1654   0.1654   2.3206   4.1589   0.2124 |   0.3282   0.3282   5.2500   4.1589   0.2478
118/140 3.00e-05   3:43:42 |   0.2674   0.2674   1.7180   4.1589   0.2074 |   0.2950   0.2950   5.4876   4.1589   0.2477
119/140 3.00e-05   3:33:25 |   0.1860   0.1860   2.1060   4.1589   0.2064 |   0.2748   0.2748   5.6101   4.1589   0.2489
120/140 3.00e-05   3:23:10 |   0.3593   0.3593   2.3508   4.1589   0.2076 |   0.2801   0.2801   5.4487   4.1589   0.2445
121/140 3.00e-05   3:14:10 |   0.3167   0.3167   2.0829   4.1589   0.2056 |   0.2973   0.2973   5.1879   4.1589   0.2401
122/140 3.00e-05   3:06:53 |   0.3068   0.3068   1.7776   4.1589   0.2074 |   0.2544   0.2544   5.4668   4.1589   0.2416
123/140 3.00e-05   2:58:41 |   0.1729   0.1729   1.9426   4.1589   0.2012 |   0.2272   0.2272   5.6904   4.1589   0.2465
124/140 3.00e-05   2:50:34 |   0.1789   0.1789   2.8916   4.1589   0.2065 |   0.4804   0.4804   4.4716   4.1589   0.2241
125/140 3.00e-05   2:39:49 |   0.2367   0.2367   1.7691   4.1589   0.1954 |   0.2930   0.2930   5.1537   4.1589   0.2325
126/140 3.00e-05   2:29:03 |   0.1887   0.1887   1.9823   4.1589   0.2013 |   0.2224   0.2224   5.5887   4.1589   0.2427
127/140 3.00e-05   2:18:16 |   0.1894   0.1894   2.0084   4.1589   0.2025 |   0.2050   0.2050   5.7211   4.1589   0.2399
128/140 3.00e-05   2:07:42 |   0.2818   0.2818   1.8132   4.1589   0.1985 |   0.1961   0.1961   5.8102   4.1589   0.2387
129/140 3.00e-05   1:57:30 |   0.1790   0.1790   1.9800   4.1589   0.1970 |   0.1602   0.1602   6.1580   4.1589   0.2449
130/140 3.00e-05   1:46:47 |   0.1496   0.1496   2.6452   4.1589   0.2029 |   0.1625   0.1625   5.9952   4.1589   0.2401
131/140 3.00e-05   1:36:01 |   0.1961   0.1961   2.7181   4.1589   0.2079 |   0.1903   0.1903   5.6853   4.1589   0.2349
