Experiment id: 10C_pretrain_commutative_cnn_20260725_174329
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260725_174326_4f984d/outputs/10C/runs/10C_pretrain_commutative_cnn_20260725_174329
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260725_174326_4f984d/outputs/10C/runs/10C_pretrain_commutative_cnn_20260725_174329/10C_pretrain_commutative_cnn_20260725_174329_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
133/140 3.00e-05   1:44:05 |   0.2458   0.2458   2.1685   4.1589   0.2243 |   0.1285   0.1285   6.0453   4.1589   0.2546
134/140 3.00e-05   1:29:00 |   0.1304   0.1304   2.5561   4.1589   0.2303 |   0.1572   0.1572   5.7844   4.1589   0.2558
135/140 3.00e-05   1:13:59 |   0.1500   0.1500   2.3062   4.1589   0.2285 |   0.1587   0.1587   5.7916   4.1589   0.2502
136/140 1.50e-05     59:03 |   0.2169   0.2169   3.0722   4.1589   0.2231 |   0.2142   0.2142   5.3750   4.1589   0.2453
137/140 1.50e-05     44:11 |   0.2121   0.2121   1.9111   4.1589   0.2187 |   0.1570   0.1570   5.6873   4.1589   0.2491
138/140 1.50e-05     29:23 |   0.1577   0.1577   1.9074   4.1589   0.2169 |   0.1275   0.1275   5.9326   4.1589   0.2494
139/140 1.50e-05     14:40 |   0.3074   0.3074   2.3311   4.1589   0.2163 |   0.1237   0.1237   5.9646   4.1589   0.2531
140/140 1.50e-05     00:00 |   0.1771   0.1771   2.0347   4.1589   0.2160 |   0.1226   0.1226   5.9862   4.1589   0.2500
Updated latest commutative CNN pretraining config at /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260725_174326_4f984d/outputs/10C/config.yaml
10C run complete: artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260725_174326_4f984d/outputs/10C/runs/10C_pretrain_commutative_cnn_20260725_174329
